startBinId,endBinId,distance
1,3,69.26274259548401
1,6,20.603220273853594
1,13,70.01894045973114
1,20,52.65082520363478
2,3,20.998707948860353
2,4,20.124747787235655
2,8,65.89421184068183
2,9,59.986040057990714
2,10,47.050991611723965
2,12,43.79186339342899
2,15,9.000572451193559
2,18,22.972077690552812
2,20,35.09569965205177
3,6,50.02090240564282
3,13,44.617094168352914
3,16,41.25767919595245
3,19,36.40756750377134
4,11,34.05674003033277
4,15,16.281160354465158
4,17,41.54732288567722
5,7,82.04860704056173
5,10,48.53954844720081
5,12,19.534365384710842
6,7,24.757996134215045
6,8,65.32068683866503
6,13,51.097875606204596
6,16,27.174104858777923
6,17,36.23284475987806
6,19,77.4650671463179
7,9,94.6547971554637
7,13,75.85479092299275
8,10,52.35621170313431
8,11,91.05926067862792
8,18,48.85073753962802
9,12,29.66195846126896
9,16,74.95529050022436
10,18,51.23864740728926
11,12,65.33512829229575
11,15,43.17131416512869
12,18,33.56366937488031
13,16,64.82676683327217
13,18,48.988302122416066
13,19,42.06325573168845
13,20,86.94240922700725
14,15,38.37075762528094
14,16,52.27130667534136
14,18,14.294952537430051
14,19,24.166441403622116
14,20,68.11556656733563
15,17,50.52739218246859
17,18,66.545470798043
